Date,Methods,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H7_Vaccination policy,H8_Protection of elderly people,V1_Vaccine Prioritisation (summary),V2_Vaccine Availability (summary),V3_Vaccine Financial Support (summary)
1/1/2021,0,S,U,L,U,L,L,S,L,U,S,L,S,L,L,U,S,L,S,U,S,U,L,U
2/1/2021,0,S,U,L,U,L,L,S,L,U,S,L,S,L,L,U,S,L,S,U,S,U,L,U
3/1/2021,0,S,U,L,U,L,L,S,L,U,U,L,S,L,L,U,S,L,S,U,S,U,L,U
4/1/2021,0,S,U,L,U,L,L,S,L,U,S,L,S,L,L,U,S,L,S,U,S,U,L,U
5/1/2021,0,S,U,L,U,L,L,S,L,U,S,L,S,L,L,U,S,L,S,U,S,U,L,S
6/1/2021,0,S,U,L,U,L,L,S,L,U,S,L,S,L,L,U,S,L,S,U,S,U,L,S
7/1/2021,0,S,U,L,U,L,L,S,L,U,S,L,S,L,L,U,S,L,S,U,S,U,L,S
20/2/2021,0,S,U,S,S,S,S,S,S,S,S,L,S,S,S,U,S,S,S,U,S,S,L,S
21/2/2021,0,S,U,S,S,S,S,S,S,S,S,L,S,S,S,U,S,S,S,S,S,S,L,S
22/2/2021,0,S,U,S,S,S,S,S,S,S,S,L,S,S,S,U,S,S,S,S,S,S,S,S
13/3/2021,0,S,S,S,S,S,S,S,S,S,S,L,S,S,S,S,S,S,S,S,S,S,S,S
14/3/2021,0,S,S,S,S,S,S,S,S,S,S,L,S,S,S,S,S,S,S,S,S,S,S,S
17/3/2021,0,S,S,S,S,S,S,S,S,S,S,L,S,S,S,S,S,S,S,U,S,S,S,S
